x,y,z,x,y,z
0.04487304,0.49407476,0.08962061,0.04487304,0.49407476,0.08962061
0.039471768,0.4813834,0.09960105,0.039471768,0.4813834,0.09960105
0.050010335,0.47607607,0.09099279,0.050010335,0.47607607,0.09099279
0.05567625,0.4849183,0.079919815,0.05567625,0.4849183,0.079919815
0.046876803,0.46805698,0.09918078,0.046876803,0.46805698,0.09918078
0.036872122,0.47052336,0.105553605,0.036872122,0.47052336,0.105553605
0.05691948,0.46831903,0.08219414,0.05691948,0.46831903,0.08219414
0.061893396,0.4736588,0.07057958,0.061893396,0.4736588,0.07057958
0.06359612,0.43117192,0.07825739,0.06359612,0.43117192,0.07825739
0.06756844,0.42508194,0.069473594,0.06756844,0.42508194,0.069473594
0.06674051,0.43751892,0.06854887,0.06674051,0.43751892,0.06854887
0.06181745,0.44038603,0.0772784,0.06181745,0.44038603,0.0772784
0.06253195,0.4048129,0.079610564,0.06253195,0.4048129,0.079610564
0.05652985,0.39751476,0.08930827,0.05652985,0.39751476,0.08930827
0.058890525,0.38682637,0.08108647,0.058890525,0.38682637,0.08108647
0.06381061,0.39385337,0.07005375,0.06381061,0.39385337,0.07005375
0.02408783,0.41528362,0.10995239,0.02408783,0.41528362,0.10995239
0.02938578,0.4086212,0.110002734,0.02938578,0.4086212,0.110002734
0.033463117,0.41515803,0.107945815,0.033463117,0.41515803,0.107945815
0.027434498,0.42101339,0.10777287,0.027434498,0.42101339,0.10777287
0.01511865,0.42618304,0.11410298,0.01511865,0.42618304,0.11410298
0.016305845,0.43095437,0.10996931,0.016305845,0.43095437,0.10996931
0.011472577,0.43566594,0.11432203,0.011472577,0.43566594,0.11432203
0.011122949,0.43039522,0.11963994,0.011122949,0.43039522,0.11963994
0.018641097,0.410009,0.11101041,0.018641097,0.410009,0.11101041
0.024309104,0.40300766,0.1108808,0.024309104,0.40300766,0.1108808
0.019527612,0.4211859,0.110416055,0.019527612,0.4211859,0.110416055
0.017466897,0.4171615,0.11335281,0.017466897,0.4171615,0.11335281
0.014451973,0.41298935,0.124750845,0.014451973,0.41298935,0.124750845
0.015993344,0.4175248,0.12255378,0.015993344,0.4175248,0.12255378
0.012758851,0.41972774,0.12896433,0.012758851,0.41972774,0.12896433
0.011528225,0.4141881,0.12928157,0.011528225,0.4141881,0.12928157
0.017313749,0.41050678,0.1156786,0.017313749,0.41050678,0.1156786
0.01772534,0.41401154,0.11792104,0.01772534,0.41401154,0.11792104
0.015320526,0.4106406,0.12083498,0.015320526,0.4106406,0.12083498
0.013892268,0.40785348,0.118153915,0.013892268,0.40785348,0.118153915
0.014449894,0.4221284,0.11783986,0.014449894,0.4221284,0.11783986
0.011501054,0.42544517,0.124376066,0.011501054,0.42544517,0.124376066
0.0076556243,0.4280347,0.13097392,0.0076556243,0.4280347,0.13097392
0.008508188,0.42056772,0.13579594,0.008508188,0.42056772,0.13579594
0.0400337,0.39414862,0.10599686,0.0400337,0.39414862,0.10599686
0.035130557,0.40160078,0.10885137,0.035130557,0.40160078,0.10885137
0.029974716,0.39679405,0.11019556,0.029974716,0.39679405,0.11019556
0.034631066,0.39075136,0.10832226,0.034631066,0.39075136,0.10832226
0.014966569,0.40428847,0.11531819,0.014966569,0.40428847,0.11531819
0.018404141,0.3884586,0.11824706,0.018404141,0.3884586,0.11824706
0.018813036,0.39242542,0.11775123,0.018813036,0.39242542,0.11775123
0.012832959,0.39400408,0.12152306,0.012832959,0.39400408,0.12152306
0.013075711,0.3901984,0.12190101,0.013075711,0.3901984,0.12190101
0.04518849,0.37835968,0.09920832,0.04518849,0.37835968,0.09920832
0.03935135,0.37788752,0.10419927,0.03935135,0.37788752,0.10419927
0.03968068,0.3706846,0.1026652,0.03968068,0.3706846,0.1026652
0.045217644,0.36948982,0.0966587,0.045217644,0.36948982,0.0966587
0.03744208,0.3646089,0.1026553,0.03744208,0.3646089,0.1026553
0.04360283,0.36102387,0.095070295,0.04360283,0.36102387,0.095070295
0.03389491,0.3470636,0.09797755,0.03389491,0.3470636,0.09797755
0.039141726,0.3532,0.09614865,0.039141726,0.3532,0.09614865
0.033469982,0.35916728,0.10417582,0.033469982,0.35916728,0.10417582
0.028283946,0.3545207,0.10808288,0.028283946,0.3545207,0.10808288
0.01643887,0.360541,0.115997106,0.01643887,0.360541,0.115997106
